Year,Age,mean,median,q025,q975,q250,q750
1984,8,0.10895351352,0.108105,0.023824277110667806,0.32662499171598325,0.061258953901024156,0.15428953115439975
1985,8,0.09606169389,0.09534895,0.020787016332843272,0.29349374099111836,0.05293817987714333,0.13651699540119658
1986,8,0.07748893487,0.0769011,0.017032236407443363,0.23163008777270333,0.04267563016542959,0.10528783013219992
1987,8,0.06503061866,0.06447455,0.014229066633357658,0.1974609118430935,0.035371169740603094,0.08780195465355106
1988,8,0.07390735073,0.0732158,0.015114093471229438,0.23950128200912688,0.041413938226332256,0.10862462245422141
1989,8,0.08276014544,0.08225665,0.017492372659893746,0.2609209055756305,0.046576940224820076,0.11909673534130706
1990,8,0.09028267586,0.08965745,0.019763928785474328,0.2750078916920983,0.050258160958507374,0.12520738489120695
1991,8,0.10587196164,0.10520750000000001,0.024749581254392986,0.29405463618503935,0.05975589814615208,0.1437301465919179
1992,8,0.13409447285,0.133327,0.028227439816119044,0.3967252627937087,0.07605951973908225,0.19653261871158828
1993,8,0.12515840619,0.1244065,0.026367070815572772,0.3721881247847552,0.07048935030672805,0.1823672650985891
1994,8,0.11741104241,0.11687700000000001,0.026287479452464162,0.33691682403579365,0.06797084373851657,0.16332603480581553
1995,8,0.11868349868,0.11813199999999999,0.02726586006673215,0.3240229240237569,0.06739989277876517,0.16017100490496322
1996,8,0.2292523053,0.228611,0.05654119172680525,0.5279006064458691,0.137749203178207,0.30038096767415806
1997,8,0.13626741486,0.135558,0.030983689674686583,0.3720325579164967,0.07897177640167165,0.18270284809688742
1998,8,0.0655459947,0.0651358,0.013956160540071046,0.20503087660678898,0.03622230624723652,0.09225626343940667
1999,8,0.04403091158,0.043731099999999995,0.009182341980630192,0.14552664790705508,0.024135751944932053,0.06190183963303245
2000,8,0.07030246264,0.06976415,0.015593828607055337,0.21559278706381027,0.038561191968379455,0.09673279921736014
2001,8,0.08020730572,0.0796154,0.016849961411135244,0.2404909755223198,0.04442573930944216,0.10913798037302723
2002,8,0.11778545808,0.117048,0.027159431517852925,0.32379386637830027,0.06643357967097285,0.15794270285413517
2003,8,0.14203867735,0.1413835,0.03275315863147546,0.3659668432753004,0.08047026215150091,0.18963392541286128
2004,8,0.08920117607,0.08871319999999999,0.020314521955776155,0.26448017394816437,0.05027364161999209,0.12695333876466602
2005,8,0.11003264733,0.109395,0.024327747763543062,0.31512820568769145,0.062132734446229965,0.15061996042248912
2006,8,0.13819922561,0.137485,0.03349473837953917,0.3707464748064033,0.07934706264528553,0.18481977128630728
